Timestamp,UniqueID,HeadSet,How many Headsets have you tried thus far?,"In the computer generated world I had a sense of ""being there""",Somehow I felt that the virtual world surrounded me.,I felt like I was just perceiving pictures.,(-) I did not feel present in the virtual space.,"I had a sense of acting in the virtual space, rather than operating something outside in real world.",I felt present in the virtual space.,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",I was not aware of my real environment.,I still paid attention to the real environment.,I still paid attention to the real environment.,How real did the virtual world seem to you?,How much did your experience in the virtual environment seem consistent with your real world experience ?,How real did the virtual world seem to you?,The virtual world seemed more realistic than the real world.,The system responded well to my manipulations as expected with no delays.  ,I think this virtual reality system provides clear feedback on my manipulations.    ,(-) I kept making errors/mistakes while using the virtual reality system.,I could clearly understand the information presented within the virtual environment.   ,"I think this system is user-friendly, straightforward to learn, and designed in such a way that most people will find it easy to adapt to.",I think it is easy to correct errors made during virtual reality experiences.   ,I enjoyed the virtual reality experience.  ,"(-) I felt dizzy, motion sickness, or a headache while experiencing virtual reality.    ","(-) While experiencing virtual reality, I felt mental burdens such as tension, frustration, and time pressure. ",General discomfort (physical),  Fatigue  ,Headache  ,Eyestrain  ,Difficulty focusing   ,Increased salivation  ,Sweating ,Nausea ,Difficulty concentrating ,Fullness of head ,Blurred vision ,Dizzy (eyes open) ,Dizzy (eyes closed) ,Vertigo (A sense of spinning experienced even when someone is perfectly still.),Stomach awareness (a feeling of discomfort that is just short of nausea.),Burping ,Did you experience pain,"If so, how uncomfortable was the pain","If you experienced pain, ache, discomfort, did this interfere with your ability to work?",Did you experience pain,"If so, how uncomfortable was the pain","If you experienced pain, ache, discomfort, did this interfere with your ability to work?"
2/25/2025 13:01,0,HTC,1,3,4,2,1,4,3,2,2,4,4,3,3,3,2,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Strongly Agree,Neutral,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/25/2025 13:24,0,Oculus,2,4,4,2,2,2,4,4,1,3,3,4,2,3,1,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/25/2025 13:41,0,HP,3,2,3,3,4,2,4,4,1,4,4,4,2,2,2,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,1,2,0,0,1,1,0,0,1,0,1,1,1,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:00,1,HTC,1,4,4,3,4,3,4,3,1,3,3,3,3,4,1,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:18,1,HP,3,3,3,4,4,4,4,4,2,4,4,3,2,3,1,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 13:32,1,Oculus,2,2,2,4,4,4,4,4,2,4,4,2,2,3,2,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 14:42,2,Oculus,1,3,4,3,4,4,4,4,2,3,3,2,2,3,1,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 15:05,2,HTC,2,4,4,3,4,4,4,1,4,1,1,3,3,2,2,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/4/2025 15:22,2,HP,3,2,2,2,2,3,2,2,2,2,2,3,3,2,1,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,3,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/5/2025 12:10,3,HP,1,2,2,3,2,3,2,2,1,2,2,3,2,2,2,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,1,1,0,1,2,1,0,0,1,1,2,1,1,2,1,0,Yes,Slightly Uncomfortable,Substantially Interfered,Yes,Slightly Uncomfortable,Slightly Interfered
3/5/2025 12:32,3,Oculus,2,5,4,5,2,5,5,2,2,3,2,5,4,2,4,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,No,,,No,,
3/5/2025 12:52,3,HTC,3,4,3,3,3,4,4,1,2,3,3,3,3,3,3,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,2,2,2,2,1,1,0,2,1,2,2,2,1,2,1,1,Yes,Moderately Uncomfortable,Slightly Interfered,Yes,Moderately Uncomfortable,Slightly Interfered
2/27/2025 10:43,4,Oculus,1,2,2,4,4,3,2,3,2,4,4,2,4,2,1,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2/27/2025 10:48,4,HP,2,4,4,2,2,4,4,2,4,3,3,4,3,4,2,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,1,1,0,2,1,0,0,0,0,1,2,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
2/27/2025 11:09,4,HTC,3,3,3,3,3,4,3,4,2,4,4,2,2,2,1,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,,Disagree,1,1,0,1,2,0,0,0,2,1,2,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 18:15,5,Oculus,1,3,4,3,3,3,4,3,2,3,3,3,4,2,2,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,1,2,2,1,1,1,0,1,1,0,2,1,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 18:32,5,HP,2,4,4,4,4,3,3,2,4,3,2,3,4,3,3,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 18:55,5,HTC,3,2,2,2,3,2,3,4,2,4,3,2,3,2,2,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,2,2,1,1,2,1,0,1,2,1,2,1,0,1,0,1,Yes,Slightly Uncomfortable,Slightly Interfered,No,Not Applicable,Not Applicable
3/6/2025 19:39,6,HTC,1,3,4,4,5,1,1,4,1,4,4,3,3,3,2,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,2,2,2,3,2,3,2,3,2,3,1,1,1,3,0,0,No,Not Applicable,Substantially Interfered,No,Not Applicable,Not Applicable
3/6/2025 19:56,6,HP,2,2,3,4,1,1,1,5,1,4,4,2,1,1,1,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,2,3,2,3,3,3,2,3,3,3,2,3,2,3,3,2,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 20:15,6,Oculus,3,2,2,4,1,1,1,5,1,4,4,1,1,1,1,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,2,3,3,3,3,3,2,3,3,3,2,2,2,3,2,2,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/7/2025 14:33,7,HP,1,3,3,4,3,3,2,3,2,4,4,3,2,3,2,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/7/2025 14:54,7,HTC,2,3,3,2,2,3,3,4,2,4,4,3,2,2,1,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/7/2025 15:11,7,Oculus,3,4,4,2,2,2,4,4,2,4,4,4,4,4,3,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/8/2025 10:37,8,HP,1,4,5,3,2,5,5,2,4,2,2,4,3,4,1,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Disagree,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/8/2025 10:59,8,HTC,2,4,5,2,2,4,5,3,4,2,2,4,4,3,1,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Strongly Disagree,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/8/2025 11:22,8,Oculus,3,5,5,2,2,4,4,4,2,3,3,4,4,4,2,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/8/2025 13:05,9,Oculus,1,2,4,3,2,3,2,4,2,2,2,2,3,3,2,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly Disagree,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/8/2025 13:24,9,HP,2,1,1,4,2,4,2,5,1,4,4,2,2,2,1,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,1,1,1,2,2,1,1,0,0,2,3,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/8/2025 13:44,9,HTC,3,4,1,3,4,4,4,2,2,2,2,3,2,2,1,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Disagree,1,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/12/2025 14:54,10,HTC,1,4,4,3,4,2,4,2,4,2,2,4,2,3,2,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,2,2,2,2,1,1,1,1,1,2,2,2,1,0,1,0,No,Not Applicable,Slightly Interfered,Yes,Slightly Uncomfortable,Slightly Interfered
3/12/2025 15:21,10,Oculus,2,3,3,3,4,4,3,2,4,2,2,3,2,3,1,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,1,1,2,1,0,0,0,2,0,2,1,2,0,0,1,0,Yes,Slightly Uncomfortable,Slightly Interfered,No,Not Applicable,Not Applicable
3/12/2025 15:43,10,HP,3,5,5,3,4,4,4,1,5,1,1,4,4,4,2,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,2,1,2,1,0,0,0,2,0,2,2,3,1,0,2,1,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 14:17,11,Oculus,1,3,3,3,3,3,3,4,2,3,3,3,3,3,2,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,2,2,2,3,2,2,0,2,1,1,1,1,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 14:39,11,HP,2,4,4,2,2,4,4,2,4,2,2,4,4,4,3,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,1,1,1,2,0,1,0,1,0,1,1,1,1,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/3/2025 15:01,11,HTC,3,4,4,1,4,4,,1,5,1,1,4,4,4,3,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,Yes,Slightly Uncomfortable,Slightly Interfered,No,Not Applicable,Not Applicable
2/24/2025 11:34,12,HTC,1,2,3,3,4,4,4,2,2,2,2,3,2,1,1,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,1,3,0,3,2,0,0,0,2,0,3,3,1,1,0,0,Yes,Slightly Uncomfortable,Not at all,No,,
2/24/2025 12:00,12,HP,2,2,4,5,4,5,4,4,2,2,2,2,1,1,1,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,3,3,0,3,2,0,0,0,2,1,2,2,1,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
2/24/2025 12:23,12,Oculus,3,3,4,3,4,3,4,4,2,4,4,3,3,3,1,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,1,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/6/2025 15:51,13,Oculus,1,4,3,2,2,2,3,4,1,4,4,3,2,1,1,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 16:11,13,HTC ,2,4,5,2,5,2,5,1,5,3,2,4,5,4,2,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 16:31,13,HP,3,3,3,2,4,2,3,3,2,3,3,4,2,3,2,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/7/2025 17:49,14,HTC,1,3,4,2,4,3,3,5,1,5,5,3,3,1,1,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,1,2,0,2,1,0,0,0,0,0,1,0,0,1,0,0,Yes,Moderately Uncomfortable,Substantially Interfered,No,Not Applicable,Slightly Interfered
3/7/2025 18:13,14,HP,2,3,3,2,4,4,4,5,1,5,5,3,3,2,1,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,Yes,Very Uncomfortable,Slightly Interfered,Yes,Moderately Uncomfortable,Slightly Interfered
3/7/2025 18:30,14,Oculus,3,1,1,3,2,4,2,5,1,5,5,1,2,1,1,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,No,Not Applicable,Slightly Interfered,No,Not Applicable,Slightly Interfered
3/9/2025 17:54,15,HTC,1,4,3,1,3,4,5,2,4,2,2,3,5,3,2,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,2,1,1,3,0,0,0,3,0,2,3,3,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/9/2025 18:25,15,Oculus,2,3,2,1,4,2,2,4,2,3,3,3,4,2,1,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,2,2,3,2,0,0,0,2,0,0,0,2,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/10/2025 1:23,15,HP,3,4,5,1,4,4,5,3,3,3,3,3,2,2,1,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,2,1,2,3,0,0,0,0,0,1,0,2,0,0,0,0,No,Not Applicable,Substantially Interfered,No,Not Applicable,Not Applicable
3/6/2025 10:56,16,HP,1,5,5,5,5,5,5,2,4,1,1,5,4,4,3,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 10:59,16,Oculus,2,4,3,4,5,5,5,3,4,2,2,4,4,4,2,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/6/2025 11:19,16,HTC,3,4,4,2,4,3,4,2,2,2,2,4,4,4,3,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Disagree,Disagree,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/12/2025 16:42,17,HP,1,5,5,1,5,5,5,5,1,5,5,5,5,5,3,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not at all
3/12/2025 17:01,17,HTC,2,5,5,1,5,5,5,5,5,1,1,5,5,5,5,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Agree,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/12/2025 17:19,17,Oculus,3,5,5,1,5,5,5,1,5,1,1,5,5,5,5,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/13/2025 12:59,18,Oculus,1,2,3,1,2,1,2,3,2,4,4,2,2,1,2,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,2,2,2,2,1,0,0,1,1,3,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Slightly Interfered,Yes,Slightly Uncomfortable,Slightly Interfered
3/13/2025 13:17,18,HP,2,2,3,1,2,2,3,2,2,2,2,2,2,2,3,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,1,1,2,2,0,0,0,2,0,2,1,2,2,2,2,0,No,Not Applicable,Slightly Interfered,Yes,Slightly Uncomfortable,Slightly Interfered
3/13/2025 13:32,18,HTC,3,3,3,3,2,4,2,3,2,4,4,2,1,2,1,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly Agree,Strongly Agree,3,3,3,3,3,0,0,3,3,3,3,3,2,3,3,1,Yes,Slightly Uncomfortable,Substantially Interfered,Yes,Moderately Uncomfortable,Substantially Interfered
3/14/2025 15:55,19,HTC,1,3,2,4,3,4,4,2,4,4,4,2,3,4,2,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,1,1,1,2,2,0,0,0,2,1,2,3,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/14/2025 16:13,19,Oculus,2,5,1,2,4,1,4,5,2,5,5,4,4,2,3,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/14/2025 16:32,19,HP,3,5,1,1,5,1,4,1,1,1,1,4,3,2,2,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/15/2025 13:03,20,HTC,1,2,2,4,4,5,2,5,1,4,4,1,1,1,1,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,1,1,1,2,2,0,0,0,2,2,2,0,0,1,0,0,Yes,Slightly Uncomfortable,Not at all,No,Slightly Uncomfortable,Not at all
3/15/2025 13:19,20,HP,2,3,2,3,2,5,3,4,2,4,4,2,1,1,1,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,2,2,2,1,1,0,0,0,0,3,1,1,1,0,0,0,Yes,Moderately Uncomfortable,Slightly Interfered,No,Slightly Uncomfortable,Not at all
3/15/2025 13:36,20,Oculus,3,4,3,2,2,4,4,4,2,4,4,3,2,2,1,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Slightly Uncomfortable,Not at all
3/17/2025 17:24,21,Oculus,1,3,3,4,4,3,3,4,1,4,4,2,3,2,1,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/17/2025 17:44,21,HP,2,2,2,5,3,4,3,3,3,3,3,2,1,2,1,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,Yes,Slightly Uncomfortable,Not at all,No,Not Applicable,Not Applicable
3/17/2025 18:03,21,HTC,3,3,3,4,3,2,3,2,2,2,2,3,2,3,4,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/18/2025 12:45,22,HP,1,3,4,2,3,3,3,3,3,4,4,2,2,2,1,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,2,1,0,1,0,0,3,2,0,3,2,1,1,0,0,0,Yes,Slightly Uncomfortable,Slightly Interfered,No,Not Applicable,Not Applicable
3/18/2025 13:10,22,HTC,2,3,3,2,3,4,3,3,3,4,3,3,3,2,1,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,2,2,0,3,2,0,2,0,3,2,3,2,0,1,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/18/2025 13:32,22,Oculus,3,3,2,2,2,2,2,4,2,4,4,2,2,2,1,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,1,1,0,1,1,0,1,0,1,2,0,0,0,0,0,0,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
3/26/2025 12:09,23,Oculus,1,3,3,1,4,4,4,1,5,1,1,3,3,3,1,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,0,Yes,Moderately Uncomfortable,Slightly Interfered,Yes,Moderately Uncomfortable,Slightly Interfered
3/26/2025 12:12,23,HP,2,4,3,1,4,2,4,2,5,1,1,1,1,1,1,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,3,3,3,3,3,2,3,3,3,3,1,2,2,3,3,1,Yes,Very Uncomfortable,Substantially Interfered,Yes,Very Uncomfortable,Substantially Interfered
3/26/2025 12:29,23,HTC,3,4,5,1,5,3,5,1,5,1,1,4,4,3,4,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Disagree,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,1,Yes,Moderately Uncomfortable,Not at all,Yes,Slightly Uncomfortable,Slightly Interfered
