Timestamp,UniqueID,HeadSet,The system responded well to my manipulations as expected with no delays.  ,I think this virtual reality system provides clear feedback on my manipulations.    ,(-) I kept making errors/mistakes while using the virtual reality system.,I could clearly understand the information presented within the virtual environment.   ,"I think this system is user-friendly, straightforward to learn, and designed in such a way that most people will find it easy to adapt to.",I think it is easy to correct errors made during virtual reality experiences.   ,I enjoyed the virtual reality experience.  ,"(-) I felt dizzy, motion sickness, or a headache while experiencing virtual reality.    ","(-) While experiencing virtual reality, I felt mental burdens such as tension, frustration, and time pressure. ",Gender
2/25/2025 13:01,0,HTC,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Strongly Agree,Neutral,Male
2/25/2025 13:24,0,Oculus,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Male
2/25/2025 13:41,0,HP,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Male
3/3/2025 13:00,1,HTC,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Male
3/3/2025 13:18,1,HP,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Male
3/3/2025 13:32,1,Oculus,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Male
3/4/2025 14:42,2,Oculus,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Male
3/4/2025 15:05,2,HTC,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Male
3/4/2025 15:22,2,HP,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Male
3/5/2025 12:10,3,HP,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Male
3/5/2025 12:32,3,Oculus,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Male
3/5/2025 12:52,3,HTC,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Male
2/27/2025 10:43,4,Oculus,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Male
2/27/2025 10:48,4,HP,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Male
2/27/2025 11:09,4,HTC,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,,Disagree,Male
3/6/2025 18:15,5,Oculus,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Male
3/6/2025 18:32,5,HP,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Male
3/6/2025 18:55,5,HTC,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Male
3/6/2025 19:39,6,HTC,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Male
3/6/2025 19:56,6,HP,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Male
3/6/2025 20:15,6,Oculus,Strongly Agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Male
3/7/2025 14:33,7,HP,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Male
3/7/2025 14:54,7,HTC,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Male
3/7/2025 15:11,7,Oculus,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Male
3/8/2025 10:37,8,HP,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Male
3/8/2025 10:59,8,HTC,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Strongly Disagree,Male
3/8/2025 11:22,8,Oculus,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Male
3/8/2025 13:05,9,Oculus,Agree,Disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly Disagree,Male
3/8/2025 13:24,9,HP,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Male
3/8/2025 13:44,9,HTC,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Strongly Disagree,Male
3/12/2025 14:54,10,HTC,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Male
3/12/2025 15:21,10,Oculus,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Male
3/12/2025 15:43,10,HP,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Male
3/3/2025 14:17,11,Oculus,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Female
3/3/2025 14:39,11,HP,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Female
3/3/2025 15:01,11,HTC,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Female
2/24/2025 11:34,12,HTC,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Female
2/24/2025 12:00,12,HP,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Female
2/24/2025 12:23,12,Oculus,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Female
3/6/2025 15:51,13,Oculus,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Female
3/6/2025 16:11,13,HTC ,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Female
3/6/2025 16:31,13,HP,Neutral,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Neutral,Female
3/7/2025 17:49,14,HTC,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Female
3/7/2025 18:13,14,HP,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Female
3/7/2025 18:30,14,Oculus,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Female
3/9/2025 17:54,15,HTC,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Female
3/9/2025 18:25,15,Oculus,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Female
3/10/2025 1:23,15,HP,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Disagree,Female
3/6/2025 10:56,16,HP,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Female
3/6/2025 10:59,16,Oculus,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Female
3/6/2025 11:19,16,HTC,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Disagree,Disagree,Female
3/12/2025 16:42,17,HP,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Agree,Female
3/12/2025 17:01,17,HTC,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Agree,Female
3/12/2025 17:19,17,Oculus,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Female
3/13/2025 12:59,18,Oculus,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Female
3/13/2025 13:17,18,HP,Agree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Female
3/13/2025 13:32,18,HTC,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Female
3/14/2025 15:55,19,HTC,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Female
3/14/2025 16:13,19,Oculus,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,Female
3/14/2025 16:32,19,HP,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Female
3/15/2025 13:03,20,HTC,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Female
3/15/2025 13:19,20,HP,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Female
3/15/2025 13:36,20,Oculus,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Female
3/17/2025 17:24,21,Oculus,Strongly Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Female
3/17/2025 17:44,21,HP,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Female
3/17/2025 18:03,21,HTC,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Female
3/18/2025 12:45,22,HP,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Female
3/18/2025 13:10,22,HTC,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Female
3/18/2025 13:32,22,Oculus,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Female
3/26/2025 12:09,23,Oculus,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Female
3/26/2025 12:12,23,HP,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Female
3/26/2025 12:29,23,HTC,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Disagree,Female
